Jahr;GKZ;Geschlecht;erwerbsalter;gruppe_5;gruppe_15;Anzahl
2022;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;155
2012;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;147
2011;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;141
2010;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;136
2020;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;135
2015;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;133
2018;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;132
2014;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;131
2016;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;129
2019;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;129
2021;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;127
2009;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;124
2023;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;121
2017;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;120
2017;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;119
2015;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;119
2005;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;117
2006;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;117
2022;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;117
2016;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;116
2013;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;115
2007;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;114
2013;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;114
2008;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;111
2004;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;111
2012;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;110
2014;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;109
2006;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;109
2020;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;106
2018;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;106
2022;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;103
2019;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;103
2009;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;103
2023;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;100
2007;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;98
2020;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;96
2022;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;96
2023;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;95
2008;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;94
2010;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;93
2003;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;92
2020;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;91
2023;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;91
2005;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;89
2004;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;88
2011;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;88
2020;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;87
2021;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;87
2018;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;86
2008;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;86
2015;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;85
2007;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;85
2005;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;84
2021;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;84
2019;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;84
2023;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;83
2009;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;83
2003;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;83
2017;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;82
2020;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;82
2011;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;81
2011;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;81
2007;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;81
2014;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;80
2022;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;80
2020;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;79
2021;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;79
2006;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;79
2008;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;79
2012;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;79
2013;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;79
2013;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;78
2022;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;78
2018;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;78
2022;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;77
2018;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;77
2003;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;77
2017;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;76
2020;20101;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;76
2023;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;76
2022;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;76
2005;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;75
2015;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;74
2011;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;74
2019;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;74
2018;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;73
2003;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;73
2010;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;73
2017;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;73
2012;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;73
2016;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;73
2011;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;72
2020;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;72
2018;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;72
2022;20101;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;72
2019;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;71
2017;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;71
2014;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;71
2010;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;71
2006;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;70
2010;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;70
2021;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;70
2021;20101;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;69
2020;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;69
2018;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;69
2016;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;69
2015;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;69
2005;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;69
2003;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;69
2013;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;68
2016;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;68
2009;20101;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;68
2016;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;68
2012;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;68
2013;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;68
2020;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;68
2019;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;68
2019;20101;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;68
2023;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;67
2016;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;67
2004;20101;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;67
2005;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;67
2017;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;67
2017;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;66
2004;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;66
2016;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;66
2021;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;66
2022;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;65
2019;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;65
2019;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;65
2005;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;65
2005;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;65
2008;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;65
2010;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;64
2014;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;64
2023;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;64
2021;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;64
2022;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;64
2020;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;63
2015;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;63
2009;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;63
2006;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;62
2015;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;62
2007;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;62
2022;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;62
2008;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;61
2004;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;61
2014;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;61
2016;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;61
2017;20101;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;60
2017;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;60
2020;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;60
2019;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;60
2023;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;60
2018;20101;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;59
2022;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;59
2003;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;59
2009;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;59
2003;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;59
2014;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;59
2010;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;59
2007;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;59
2006;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;59
2006;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;59
2012;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;59
2006;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;58
2023;20201;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;58
2023;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;58
2020;20201;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;57
2021;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;57
2023;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;57
2009;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;57
2004;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;57
2004;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;57
2012;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;57
2003;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;56
2015;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;56
2004;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;56
2021;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;56
2018;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;56
2018;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;55
2019;20201;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;55
2012;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;55
2009;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;55
2010;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;54
2007;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;54
2012;20201;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;54
2008;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;54
2023;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;54
2021;20201;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;53
2021;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;53
2021;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;53
2013;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;53
2007;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;53
2004;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;53
2010;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;53
2007;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;53
2016;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;53
2014;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;53
2017;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;53
2004;20201;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;53
2013;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;52
2008;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;52
2015;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;52
2006;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;52
2013;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;52
2020;20101;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;52
2022;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;52
2022;20201;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;51
2018;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;51
2019;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;51
2010;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;51
2014;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;50
2016;20101;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;50
2007;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;50
2012;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;50
2012;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;50
2005;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;50
2008;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;50
2014;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;50
2014;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;50
2009;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;50
2022;20201;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;50
2023;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;50
2021;20201;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;49
2020;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;49
2019;20101;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;49
2012;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;49
2014;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;49
2004;20201;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;49
2004;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;49
2008;20201;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;49
2005;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;48
2008;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;48
2011;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;48
2017;20201;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;48
2016;20201;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;48
2014;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;48
2013;20201;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;48
2019;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;48
2021;20101;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;48
2023;20101;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;48
2022;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;48
2023;20101;männlich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;48
2023;20101;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;47
2021;20101;männlich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;47
2013;20201;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;47
2004;20201;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;47
2017;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;47
2012;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;47
2011;20201;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;47
2007;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;47
2013;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;47
2014;20201;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;46
2004;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;46
2006;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;46
2016;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;46
2017;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;46
2011;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;46
2021;20201;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;46
2023;20201;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;46
2020;20201;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;46
2020;20201;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;46
2021;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;45
2020;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;45
2003;20201;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;45
2006;20201;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;45
2003;20101;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;45
2011;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;44
2010;20101;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;44
2015;20101;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;44
2015;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;44
2005;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;44
2008;20201;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;44
2012;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;44
2003;20101;männlich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;44
2016;20201;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;44
2015;20201;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;44
2016;20101;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;44
2019;20201;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;44
2018;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;44
2021;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;44
2021;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;43
2016;20101;männlich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;43
2017;20201;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;43
2015;20101;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;43
2015;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;43
2017;20201;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;43
2015;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;43
2015;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;42
2012;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;42
2003;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;42
2017;20201;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;42
2003;20101;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;42
2008;20201;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;42
2006;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;42
2008;20101;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;42
2019;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;42
2022;20101;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;42
2023;20101;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;42
2022;20201;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;42
2022;20101;männlich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;41
2023;20201;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;41
2013;20101;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;41
2016;20201;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;41
